name,sites,lnL,parameters,subsets,aic,aicc,bic
65,5964,-70343.55,350,3,141387.10,141430.87,143729.83
66,5964,-70554.19,339,2,141786.38,141827.36,144055.47
67,5964,-70149.31,340,2,140978.62,141019.85,143254.41
68,5964,-70144.98,350,3,140989.96,141033.74,143332.69
69,5964,-70507.09,350,3,141714.19,141757.96,144056.91
70,5964,-70113.14,350,3,140926.29,140970.06,143269.01
71,5964,-70119.24,350,3,140938.48,140982.25,143281.20
72,5964,-70097.89,361,4,140917.78,140964.43,143334.13
73,5964,-70627.76,349,3,141953.52,141997.04,144289.55
74,5964,-70306.53,350,3,141313.06,141356.84,143655.79
75,5964,-70324.96,349,3,141347.92,141391.44,143683.95
76,5964,-70290.50,360,4,141301.00,141347.39,143710.66
77,5964,-70484.57,350,3,141669.14,141712.91,144011.86
78,5964,-70090.07,350,3,140880.15,140923.92,143222.87
79,5964,-70109.82,350,3,140919.64,140963.42,143262.37
80,5964,-70075.36,361,4,140872.73,140919.38,143289.08
81,5964,-70524.43,349,3,141746.86,141790.37,144082.89
82,5964,-70131.25,350,3,140962.51,141006.28,143305.23
83,5964,-70121.55,350,3,140943.10,140986.87,143285.82
84,5964,-70115.22,360,4,140950.45,140996.84,143360.11
85,5964,-70454.04,360,4,141628.09,141674.48,144037.75
86,5964,-70060.87,361,4,140843.74,140890.39,143260.09
87,5964,-70079.30,360,4,140878.60,140924.99,143288.25
88,5964,-70066.19,360,4,140852.38,140898.77,143262.04
89,5964,-70044.84,371,5,140831.68,140881.04,143314.97
90,5964,-70706.29,340,2,142092.57,142133.81,144368.36
91,5964,-70556.68,340,2,141793.37,141834.60,144069.16
92,5964,-70461.84,351,3,141625.67,141669.70,143975.09
93,5964,-70532.31,340,2,141744.62,141785.85,144020.41
94,5964,-70278.28,340,2,141236.55,141277.79,143512.34
95,5964,-70202.84,351,3,141107.68,141151.71,143457.10
96,5964,-70495.90,351,3,141693.80,141737.83,144043.21
97,5964,-70261.28,351,3,141224.55,141268.59,143573.97
98,5964,-70187.78,351,3,141077.56,141121.59,143426.98
99,5964,-70166.43,362,4,141056.86,141103.78,143479.91
100,5964,-70678.20,340,2,142036.40,142077.64,144312.19
101,5964,-70415.94,340,2,141511.87,141553.11,143787.66
102,5964,-70363.96,351,3,141429.91,141473.95,143779.33
103,5964,-70468.05,340,2,141616.11,141657.34,143891.89
104,5964,-70026.86,337,2,140727.71,140768.20,142983.42
105,5964,-69980.20,348,3,140656.39,140699.65,142985.73
106,5964,-70447.27,351,3,141596.54,141640.57,143945.96
107,5964,-70011.39,348,3,140718.79,140762.04,143048.12
